"DateYYMMDD","TimeHHMM","CO_CerroNavia","CO_ElBosque","CO_Independencia","CO_LasCondes","CO_OHiggins","CO_PuenteAlto","CO_Talagante","Hum_CerroNavia","Hum_ElBosque","Hum_Independencia","Hum_LasCondes","Hum_OHiggins","Hum_PuenteAlto","Hum_Talagante","SO2_ElBosque","SO2_PuenteAlto","SO2_Talagante","Temp_CerroNavia","Temp_ElBosque","Temp_Independencia","Temp_LasCondes","Temp_OHiggins","Temp_PuenteAlto","Temp_Talagante","WindSpeed_CerroNavia","WindSpeed_ElBosque","WindSpeed_Independencia","WindSpeed_LasCondes","WindSpeed_OHiggins","WindSpeed_PuenteAlto","WindSpeed_Talagante"
180202,1000,0.26,0.29,0.15,0.36,0.3,0.18,0.11,49.5833,51.8428,46.5,41.3333,47.5095,54.5095,70.9358,1,4.24,1,22.8333,22.9048,25.2833,24.2167,23.1381,22.5464,19.6298,1.71454,1.92135,1.33714,2.52695,1.80626,2.4081,1.44299
180202,1100,0.16,0.32,0.11,0.38,0.3,0.1,0.14,43.5,47.9255,41.9167,37.5833,41.9255,51.4255,64.2676,1,4.82,1,24.7833,25.1961,26.7417,25.975,25.0627,24.0711,22.0377,2.54948,2.49055,1.88963,3.61116,2.26696,2.57939,1.61288
180202,1200,0.17,0.32,0.12,0.3,0.3,0.1,0.16,41.4167,46.0081,40.5,34.6667,41.0081,49.4247,58.0081,1,4.07,1,26.2833,26.654,27.9,27.1,26.5457,25.0123,24.3207,3.03291,3.40879,2.04542,3.03545,2.71656,3.43524,1.74577
180202,1300,0.2,0.28,0.1,0.25,0.3,0.1,0.18,38.5,42.174,39.0833,33.25,39.3406,48.2573,54.0906,1,3.32,1,27.3583,27.9203,28.85,28.15,27.562,25.9953,25.5453,3.26659,3.40879,2.47028,3.54015,2.9379,4.17228,2.21115
180202,1400,0.46,0.28,0.11,0.2,0.3,0.11,0.17,35.6667,40.8399,37.5,34.0001,37.1733,45.7565,50.5899,1,3.32,1,28.4917,28.3616,29.6333,28.5833,28.4283,26.5783,26.995,3.1643,3.40879,2.45215,3.71664,2.81314,4.19013,2.33537
180202,1500,0.49,0.28,0.12,0.25,0.3,0.14,0.2,35.0002,39.9225,36.9167,33,36.2559,44.3391,49.4225,1,3.49,1,28.85,28.7946,29.9167,28.8417,28.9303,27.1756,27.3446,3.46577,3.40879,2.34886,4.31455,3.08092,4.10199,2.33452
180202,1600,0.49,0.39,0.12,0.25,0.3,0.13,0.12,35.5,41.4218,37.75,32.0833,37.2551,45.5051,52.6718,1,3.82,1,28.825,28.4193,29.7583,28.8167,28.7193,27.0442,26.3859,3.2376,3.51683,2.50348,3.70509,3.19409,4.39871,2.56179
180202,1700,0.53,0.39,0.11,0.26,0.3,0.13,0.11,37.3333,43.5877,40.5833,34,39.0877,47.0877,58.3377,1.2,3.65,1,28.0917,27.4855,28.7417,28.2,27.9105,26.2355,24.3105,3.18397,3.44528,2.67596,3.54015,3.06335,4.41994,2.83805
180202,1800,0.53,0.36,0.12,0.27,0.3,0.15,0.11,41.6667,48.5037,45.1667,38.0833,44.2537,50.587,64.2573,1.04,3.32,1,26.2,25.6435,27.3667,26.6917,26.3018,24.8601,21.7518,2.85122,3.40879,2.36862,2.70739,2.6334,3.90496,2.28962
180202,1900,0.45,0.35,0.13,0.26,0.38,0.2,0.11,50.0833,55.9196,52.8333,45.5,52.2529,56.9196,71.2559,1,3.32,1,23.125,22.6515,24.85,24.3417,23.2598,22.4265,19.2265,2.64717,1.8172,1.77889,1.68563,2.02954,2.8439,1.79393
180202,200,0.25,0.26,0.1,0.45,0.46,0.1,0.11,73.1667,68.0015,63.5007,63,67.7515,68.5015,95,1,5.21,1,15.5417,17.1671,19.6837,17.625,16.2921,17.0254,12.3252,1.09993,0.478424,0.853293,0.308647,0.985125,0.328878,0.685854
180202,2000,0.35,0.36,0.18,0.27,0.39,0.27,0.11,57.9167,61.5022,59.1667,54.25,60.0855,62.9189,77.0876,1,3.32,1,20.675,20.6678,23.075,22.0167,20.5761,20.5094,17.1928,2.05652,1.8172,1.19537,1.41534,1.86177,1.55523,1.33321
180202,2100,0.39,0.37,0.18,0.29,0.39,0.43,0.11,63.8333,64.5862,63.25,60.5,63.5848,66.0862,81.5029,1,3.57,1,19.1833,19.5924,21.7833,20.5417,19.334,19.5674,15.8754,1.39463,1.3711,1.1616,1.07711,1.46532,1.1654,0.741689
180202,2200,0.4,0.39,0.27,0.37,0.39,0.53,0.11,67.1667,67.7515,64.1667,63.5833,65.2515,67.8347,86.0847,1,3.82,1,18.2,18.6921,21.3001,19.775,18.5837,19.0254,14.5752,1.26044,0.746309,1.15861,1.12478,1.05906,0.618695,0.392345
180202,2300,0.38,0.41,0.29,0.37,0.48,0.4,0.11,69.6667,69.1667,64.3333,72.3333,67.25,70.0833,89.9167,1,4.15,1,17.4583,18.0833,20.9917,18.4583,17.8833,18.375,13.5333,1.00234,0.595811,0.934698,0.340015,0.881943,0.716126,0.156994
180202,300,0.24,0.26,0.1,0.39,0.41,0.1,0.11,74.5833,72.9167,66.3333,63.8333,71.8333,72.6667,95,1,4.82,1,15.2167,16.2833,19.025,17.2333,15.275,16.2167,12.4083,0.677826,0.420794,0.743968,0.501883,0.631452,1.06547,0.722307
180202,400,0.24,0.18,0.1,0.37,0.36,0.1,0.11,77.5833,73.8608,67.9435,65.8333,72.5,74.9446,94.1667,1,6.15,1,14.525,15.8201,18.7233,16.6833,15.0368,15.5535,12.5702,0.68557,0.420794,0.654373,0.465625,0.707613,0.807366,0.604383
180202,500,0.25,0.26,0.13,0.37,0.39,0.17,0.11,83,75.3333,71.6667,70.5833,74.4429,76.5264,94,1,4.65,1,13.4417,15.37,18.025,15.9333,14.3533,15.345,12.57,0.68557,0.530313,0.614407,0.465625,0.953403,0.568542,0.549339
180202,600,0.38,0.49,0.29,0.46,0.55,0.57,0.11,87.75,78.2748,75.5833,71.6667,78.2748,75.8582,94,1,4.15,1,12.8083,14.4531,17.2167,15.7417,13.6864,15.7531,12.5698,1.02358,1.45638,1.03895,0.712605,1.08431,0.519555,0.523727
180202,700,0.46,0.47,0.42,0.52,0.63,0.57,0.11,83.5833,73.2734,68.4167,59,72.7734,66.8566,92.6067,1,3.82,1,14.3417,16.3559,19.0667,18.775,15.8446,18.2141,12.8946,1.08744,0.902231,0.855715,0.784735,1.37757,0.74606,0.721374
180202,800,0.4,0.39,0.47,0.45,0.53,0.19,0.11,72.5833,63.0943,61,53.0833,64.4387,63.0943,89.772,1,3.57,1,16.9,19.5138,21.1417,20.55,18.2555,19.3472,13.7278,1.10155,1.48316,1.09895,2.54337,1.53949,1.28502,0.851945
180202,900,0.32,0.33,0.26,0.38,0.38,0.12,0.12,59.5833,57.1769,54.0833,48,55.4269,57.3436,81.0205,1,3.32,1,20.2417,21.3051,23.1667,22.175,21.0551,21.2384,16.2884,1.41713,1.48316,1.30799,2.60644,1.46125,1.55572,1.18147
180203,0,0.35,0.48,0.14,0.41,0.61,0.46,0.11,72.6667,70.6943,67.693,76.4167,68.9443,71.5278,91.6946,1,4.74,1,16.7083,17.7569,20.1398,17.8083,17.3736,17.9069,13.0368,0.663201,0.453544,0.794756,0.502248,0.820565,0.393193,0.482188
180203,100,0.4,0.46,0.11,0.38,0.49,0.39,0.11,76.1667,74.5261,71.6917,79.0833,71.3594,73.1931,92.5833,1,4.99,1,15.7333,16.7482,19.2395,17.0833,16.5732,17.5565,12.7783,0.772867,0.733909,0.863045,0.471661,0.909295,0.434813,0.802202
180203,1000,0.41,0.37,0.16,0.46,0.51,0.14,0.12,58.4167,58.1733,55.6667,52.4167,54.5899,60.8399,76.0964,1,3.24,1,21.4583,22.645,24.0667,23.025,22.5283,21.8033,18.645,1.42963,1.48316,1.04537,2.61412,1.35054,1.94719,1.21929
180203,1100,0.35,0.36,0.13,0.47,0.44,0.13,0.18,49.3333,52.9225,48.5,46.6667,47.6725,56.5059,67.4285,1,3.32,1,24.5,24.7196,26.575,24.725,24.9279,23.5862,21.9446,1.80938,2.00589,1.39608,2.99702,1.8915,2.39479,1.58908
180203,1200,0.35,0.34,0.1,0.44,0.39,0.11,0.21,44.75,48.8384,45.3333,41.9167,44.5884,54.1718,61.1718,1,3.32,1,26.2833,26.3609,27.6667,26.15,26.2026,25.0109,24.4693,2.88605,3.10626,2.10214,3.33477,2.62194,3.01075,1.63575
180203,1300,0.37,0.35,0.1,0.38,0.39,0.11,0.21,41.9167,46.7544,42.6667,39.4167,42.0877,50.6711,55.9211,1,3.32,1,27.475,27.4272,28.7167,27.1417,27.4855,26.4189,26.6272,2.90408,3.40879,2.11351,3.03545,2.63468,3.31387,1.60069
180203,1400,0.62,0.3,0.1,0.37,0.37,0.1,0.21,39.4167,46.5037,41.4167,37.5833,40.837,51.2537,55.2537,1,3.32,1,28.3833,27.7685,29.5167,27.8417,28.2101,26.2768,26.7185,3.10814,3.40879,2.47046,3.71064,2.95553,4.37872,2.17331
180203,1500,0.63,0.38,0.1,0.37,0.3,0.1,0.2,38.75,44.8362,41.5,38.0833,39.5862,49.9196,55.1696,1,3.32,1,28.65,28.2682,29.4667,28.0583,28.6432,26.4515,26.4515,3.30588,3.44528,2.54174,4.38801,3.11367,4.45499,2.55293
180203,1600,0.64,0.37,0.11,0.37,0.35,0.1,0.19,38.5,45.7522,42.4167,38,40.5022,50.2522,55.1689,1,3.32,1,28.6917,27.7428,28.9273,27.9583,28.2178,26.2094,26.2011,3.20441,3.44528,2.93084,3.71664,3.15856,4.36422,2.46966
180203,1700,0.65,0.37,0.1,0.37,0.31,0.1,0.19,40.8333,47.4182,44.6667,40.3333,42.5848,51.0848,56.5015,1.04,3.32,1,27.525,26.9424,28.2833,26.9,27.584,25.784,25.5174,3.09689,3.40879,2.30929,2.91301,2.75328,3.97118,2.07915
180203,1800,0.63,0.38,0.1,0.37,0.32,0.12,0.12,45.0833,50.1674,48.75,42.9174,46.4174,53.2507,62.084,1,3.32,1,25.8083,25.8671,26.9917,26.2504,26.2004,24.9337,23.1754,2.51875,3.40879,2.15212,2.91301,2.37844,3.5103,2.42131
180203,1900,0.49,0.39,0.11,0.37,0.33,0.12,0.14,50.6667,56.4167,54.5833,49.8333,52.75,58.25,68.25,1,3.32,1,23.6167,23.3,25.0667,24.1167,23.6333,22.9,20.8833,2.19606,2.36989,2.03577,1.79935,2.16297,2.86064,1.86468
180203,200,0.37,0.36,0.11,0.37,0.54,0.24,0.11,80,77.7747,75.2736,78.6667,74.1914,77.1082,93.9252,1,4.32,1,14.8667,16.1645,18.4475,16.8917,15.3198,16.6895,12.5948,1.09944,1.1936,1.37792,0.998593,1.15415,0.875854,0.5997
180203,2000,0.49,0.41,0.14,0.39,0.36,0.17,0.11,56.5833,60.8471,58.8333,56.8472,58.3471,62.3472,73.5278,1,3.32,1,21.8,21.6402,23.7833,22.2986,21.7986,21.4069,19.0737,1.65376,1.3711,1.1035,1.28836,1.50174,1.63651,1.3753
180203,2100,0.54,0.44,0.14,0.44,0.39,0.36,0.14,61.75,63.4297,61.8333,61.75,61.5964,65.8596,77.6096,1,3.32,1,20.45,20.7148,22.8167,21.1583,20.5898,20.3398,17.7399,1.45085,1.12525,1.42751,1.28836,1.62011,0.999792,1.02087
180203,2200,0.54,0.41,0.19,0.47,0.34,0.22,0.14,65.0833,66.0247,64.6667,65,64.1079,68.8582,83.0249,1,3.32,1,19.4917,19.8645,21.9583,20.125,19.7312,19.5729,16.1062,1.22004,0.746309,1.03844,1.02864,1.33332,0.866094,0.490754
180203,2300,0.51,0.38,0.23,0.47,0.34,0.22,0.15,67.4167,68.6899,65.9167,70.5833,66.6064,70.9402,87.3567,1,3.32,1,18.7917,19.0141,21.5333,19.1833,18.9058,18.8975,14.7862,1.26265,0.667213,0.853198,0.490742,1.09418,0.798612,0.219411
180203,300,0.35,0.26,0.1,0.38,0.57,0.15,0.11,83.4167,81.2732,80.9388,80.8333,79.1899,82.3567,94,1,3.82,1,14.0833,14.8946,16.9888,16.5,13.9946,15.0862,13.0696,1.25791,1.52929,1.27603,0.993454,1.48603,1.05041,0.299185
180203,400,0.35,0.27,0.1,0.44,0.65,0.1,0.11,86.5,83.355,84.021,81.8333,82.1885,84.8552,93.5,1,3.32,1,13.4833,14.1694,16.4551,15.975,13.5444,13.9027,13.4194,1.07195,1.52929,1.05552,0.520922,1.02147,0.921053,0.586867
180203,500,0.35,0.3,0.1,0.44,0.66,0.1,0.11,91.1667,86.437,86.25,84.8538,81.0983,88.2705,93,1,3.32,1,12.825,13.0692,15.9083,15.4942,12.6775,12.8934,13.3915,1.24596,1.52929,1.224,0.862984,1.38588,0.859333,0.625486
180203,600,0.38,0.32,0.21,0.49,0.54,0.13,0.11,92.8333,89.3522,88.1667,85.5833,81.0983,87.1858,93,1,3.32,1,12.9667,12.7107,15.5667,15.2083,12.2941,13.0691,13.4524,1.08614,1.52929,1.07514,0.434343,1.32926,0.714851,0.518223
180203,700,0.45,0.35,0.17,0.49,0.47,0.12,0.11,89.9167,86.6008,83.5833,74.4167,81.0983,84.2676,92.25,1,3.32,1,13.625,13.7439,16.8083,17.6083,13.3855,13.9189,13.8189,1.33015,1.49807,1.23312,0.797749,1.2868,0.97482,0.491137
180203,800,0.45,0.36,0.14,0.47,0.44,0.11,0.11,83.75,77.8494,76.0833,67.8333,79.3374,78.9329,89.7661,1,3.24,1,15.175,16.4123,18.6083,19.1,15.727,15.8603,14.3687,1.11578,1.45638,1.2034,1.38076,1.39459,1.28088,0.631334
180203,900,0.45,0.36,0.17,0.4,0.47,0.13,0.11,70.3333,67.0146,65.5,60,63.7073,67.7646,85.7646,1,3.32,1,18.2917,19.462,21.3083,20.8833,19.3287,19.3704,15.4935,0.97386,1.23659,1.08872,2.54337,1.02009,1.16168,0.815786
