FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090210;2300;1;;;
090211;0000;1;;;
090211;0100;1;;;
090211;0200;2;;;
090211;0300;2;;;
090211;0400;1;;;
090211;0500;1;;;
090211;0600;1;;;
090211;0700;1;;;
090211;0800;2;;;
090211;0900;2;;;
090211;1000;1;;;
090211;1100;3;;;
090211;1200;28;;;
090211;1300;20;;;
090211;1400;4;;;
090211;1500;2;;;
090211;1600;2;;;
090211;1700;2;;;
090211;1800;1;;;
090211;1900;1;;;
090211;2000;1;;;
090211;2100;1;;;
090211;2200;2;;;
090211;2300;1;;;
090212;0000;1;;;
090212;0100;1;;;
090212;0200;1;;;
090212;0300;1;;;
090212;0400;1;;;
090212;0500;1;;;
090212;0600;1;;;
090212;0700;2;;;
090212;0800;3;;;
090212;0900;6;;;
090212;1000;4;;;
090212;1100;3;;;
090212;1200;7;;;
090212;1300;9;;;
090212;1400;4;;;
090212;1500;2;;;
090212;1600;1;;;
090212;1700;1;;;
090212;1800;1;;;
090212;1900;1;;;
090212;2000;1;;;
090212;2100;1;;;
090212;2200;1;;;
090212;2300;2;;;
090213;0000;1;;;
090213;0100;1;;;
090213;0200;1;;;
090213;0300;1;;;
090213;0400;1;;;
090213;0500;4;;;
090213;0600;1;;;
090213;0700;2;;;
090213;0800;2;;;
090213;0900;2;;;
090213;1000;3;;;
090213;1100;5;;;
090213;1200;7;;;
090213;1300;3;;;
090213;1400;1;;;
090213;1500;1;;;
090213;1600;1;;;
090213;1700;1;;;
090213;1800;1;;;
090213;1900;1;;;
090213;2000;1;;;
090213;2100;1;;;
090213;2200;1;;;
090213;2300;1;;;
090214;0000;1;;;
090214;0100;1;;;
090214;0200;1;;;
090214;0300;1;;;
090214;0400;1;;;
090214;0500;1;;;
090214;0600;3;;;
090214;0700;2;;;
090214;0800;1;;;
090214;0900;1;;;
090214;1000;1;;;
090214;1100;1;;;
090214;1200;4;;;
090214;1300;2;;;
090214;1400;1;;;
090214;1500;1;;;
090214;1600;1;;;
090214;1700;1;;;
090214;1800;2;;;
090214;1900;5;;;
090214;2000;2;;;
090214;2100;1;;;
090214;2200;1;;;
090214;2300;1;;;
090215;0000;1;;;
090215;0100;1;;;
090215;0200;1;;;
090215;0300;1;;;
090215;0400;1;;;
090215;0500;1;;;
090215;0600;1;;;
090215;0700;1;;;
090215;0800;1;;;
090215;0900;2;;;
090215;1000;2;;;
090215;1100;3;;;
090215;1200;4;;;
090215;1300;2;;;
090215;1400;2;;;
090215;1500;2;;;
090215;1600;2;;;
090215;1700;2;;;
090215;1800;1;;;
090215;1900;1;;;
090215;2000;1;;;
090215;2100;1;;;
090215;2200;1;;;
090215;2300;1;;;
090216;0000;1;;;
090216;0100;1;;;
090216;0200;1;;;
090216;0300;2;;;
