FECHA (YYMMDD);HORA (HHMM);;
090215;0500;-39,4083;
090215;0600;-39,4166;
090215;0700;-39,4083;
090215;0800;-39,4249;
090215;0900;-39,4916;
090215;1000;-39,45;
090215;1100;-39,5;
090215;1200;-39,4916;
090215;1300;-39,5167;
090215;1400;-39,5333;
090215;1500;-39,6;
090215;1600;-39,5667;
090215;1700;-39,5;
090215;1800;-39,5083;
090215;1900;-39,6833;
090215;2000;-39,5583;
090215;2100;-39,5;
090215;2200;-39,5;
090215;2300;-39,45;
090216;0000;-39,4583;
090216;0100;-39,4083;
090216;0200;-39,4416;
090216;0300;-39,4166;
090216;0400;-39,4166;
090216;0500;-39,4083;
090216;0600;-39,5;
090216;0700;-39,5;
090216;0800;-39,5;
090216;0900;-39,5583;
090216;1000;-39,5667;
090216;1100;-39,5083;
090216;1200;-39,5;
090216;1300;-39,5;
090216;1400;-39,5;
090216;1500;-39,55;
090216;1600;-39,5083;
090216;1700;-39,5;
090216;1800;-39,525;
090216;1900;-39,5167;
090216;2000;-39,5;
090216;2100;-39,5;
090216;2200;-39,5;
090216;2300;-39,5083;
090217;0000;-39,4916;
090217;0100;-39,4833;
090217;0200;-39,4916;
090217;0300;-39,4583;
090217;0400;-39,4333;
090217;0500;-39,4666;
090217;0600;-39,475;
090217;0700;-39,4666;
090217;0800;-39,5;
090217;0900;-39,5;
090217;1000;-39,5;
090217;1100;-39,4083;
090217;1200;-39,3749;
090217;1300;-39,3749;
090217;1400;-39,3;
090217;1500;-39,2916;
090217;1600;-39,2833;
090217;1700;-39,3;
090217;1800;-39,3;
090217;1900;-39,3;
090217;2000;-39,2666;
090217;2100;-39,2916;
090217;2200;-39,2;
090217;2300;-39,2;
090218;0000;-39,2;
090218;0100;-39,2;
090218;0200;-39,2;
090218;0300;-39,1909;
090218;0400;-39,2;
090218;0500;-39,2;
090218;0600;-39,2;
090218;0700;-39,2;
090218;0800;;
090218;0900;-39,2111;
090218;1000;-39,2;
090218;1100;-39,2249;
090218;1200;-39,2166;
090218;1300;-39,2916;
090218;1400;-39,2583;
090218;1500;-39,2666;
090218;1600;-39,3;
090218;1700;-39,3;
090218;1800;-39,2916;
090218;1900;-39,2833;
090218;2000;-39,2583;
090218;2100;-39,2166;
090218;2200;-39,2833;
090218;2300;-39,2;
090219;0000;-39,2;
090219;0100;-39,2;
090219;0200;-39,2;
090219;0300;-39,2;
090219;0400;;
090219;0500;;
090219;0600;;
090219;0700;;
090219;0800;;
090219;0900;;
090219;1000;-39,1888;
090219;1100;-39,2083;
090219;1200;-39,2083;
090219;1300;-39,2333;
090219;1400;-39,2583;
090219;1500;-39,275;
090219;1600;-39,2583;
090219;1700;-39,3;
090219;1800;-39,275;
090219;1900;-39,2833;
090219;2000;-39,2249;
090219;2100;-39,2;
090219;2200;-39,2;
090219;2300;-39,2;
090220;0000;-39,2;
090220;0100;;
090220;0200;-39,1833;
090220;0300;-39,2;
090220;0400;-39,2;
090220;0500;-39,2;
090220;0600;-39,1916;
090220;0700;-39,2;
090220;0800;-39,2083;
090220;0900;-39,1916;
090220;1000;-39,2;
090220;1100;-39,2083;
090220;1200;-39,2416;
090220;1300;-39,2416;
090220;1400;-39,2583;
090220;1500;-39,2166;
090220;1600;-39,2249;
090220;1700;-39,2666;
090220;1800;-39,2833;
090220;1900;-39,2916;
090220;2000;-39,2583;
090220;2100;-39,2083;
090220;2200;-39,2;
090220;2300;-39,2;
090221;0000;-39,2;
090221;0100;-39,2;
090221;0200;;
090221;0300;;
090221;0400;-39,2;
090221;0500;-39,1833;
090221;0600;-39,2;
