FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970812;1000;19;;;
970812;1100;12;;;
970812;1200;7;;;
970812;1300;10;;;
970812;1400;10;;;
970812;1500;10;;;
970812;1600;10;;;
970812;1700;9;;;
970812;1800;13;;;
970812;1900;14;;;
970812;2000;16;;;
970812;2100;21;;;
970812;2200;24;;;
970812;2300;21;;;
970813;0000;10;;;
970813;0100;6;;;
970813;0200;6;;;
970813;0300;5;;;
970813;0400;4;;;
970813;0500;4;;;
970813;0600;3;;;
970813;0700;3;;;
970813;0800;3;;;
970813;0900;6;;;
970813;1000;11;;;
970813;1100;11;;;
970813;1200;8;;;
970813;1300;7;;;
970813;1400;7;;;
970813;1500;7;;;
970813;1600;8;;;
970813;1700;6;;;
970813;1800;4;;;
970813;1900;3;;;
970813;2000;3;;;
970813;2100;4;;;
970813;2200;6;;;
970813;2300;5;;;
970814;0000;4;;;
970814;0100;5;;;
970814;0200;7;;;
970814;0300;6;;;
970814;0400;4;;;
970814;0500;4;;;
970814;0600;5;;;
970814;0700;9;;;
970814;0800;11;;;
970814;0900;7;;;
970814;1000;8;;;
970814;1100;8;;;
970814;1200;4;;;
970814;1300;3;;;
970814;1400;4;;;
970814;1500;4;;;
970814;1600;5;;;
970814;1700;5;;;
970814;1800;6;;;
970814;1900;4;;;
970814;2000;5;;;
970814;2100;6;;;
970814;2200;8;;;
970814;2300;7;;;
970815;0000;4;;;
970815;0100;4;;;
970815;0200;5;;;
970815;0300;5;;;
970815;0400;6;;;
970815;0500;6;;;
970815;0600;6;;;
970815;0700;6;;;
970815;0800;6;;;
970815;0900;4;;;
970815;1000;3;;;
970815;1100;3;;;
970815;1200;6;;;
970815;1300;7;;;
970815;1400;5;;;
970815;1500;4;;;
970815;1600;4;;;
970815;1700;5;;;
970815;1800;5;;;
970815;1900;4;;;
970815;2000;5;;;
970815;2100;5;;;
970815;2200;5;;;
970815;2300;4;;;
970816;0000;3;;;
970816;0100;3;;;
970816;0200;2;;;
970816;0300;2;;;
970816;0400;2;;;
970816;0500;3;;;
970816;0600;2;;;
970816;0700;3;;;
970816;0800;3;;;
970816;0900;4;;;
970816;1000;3;;;
970816;1100;3;;;
970816;1200;7;;;
970816;1300;5;;;
970816;1400;5;;;
970816;1500;4;;;
970816;1600;4;;;
970816;1700;4;;;
970816;1800;3;;;
970816;1900;3;;;
970816;2000;3;;;
970816;2100;4;;;
970816;2200;3;;;
970816;2300;3;;;
970817;0000;3;;;
970817;0100;3;;;
970817;0200;3;;;
970817;0300;3;;;
970817;0400;3;;;
970817;0500;3;;;
970817;0600;3;;;
970817;0700;3;;;
970817;0800;2;;;
970817;0900;2;;;
970817;1000;3;;;
970817;1100;3;;;
970817;1200;3;;;
970817;1300;3;;;
970817;1400;2;;;
970817;1500;;;;
970817;1600;;;;
970817;1700;;;;
970817;1800;;;;
970817;1900;;;;
970817;2000;;;;
970817;2100;;;;
970817;2200;;;;
970817;2300;;;;
970818;0000;;;;
970818;0100;;;;
970818;0200;;;;
970818;0300;;;;
970818;0400;;;;
970818;0500;;;;
970818;0600;;;;
970818;0700;;;;
970818;0800;;;;
970818;0900;;;;
970818;1000;;;;
970818;1100;;;;
970818;1200;;;;
970818;1300;;;;
970818;1400;;;;
970818;1500;;;;
970818;1600;;;;
970818;1700;;;;
970818;1800;3;;;
970818;1900;5;;;
970818;2000;4;;;
970818;2100;3;;;
970818;2200;5;;;
970818;2300;5;;;
970819;0000;3;;;
970819;0100;2;;;
970819;0200;2;;;
970819;0300;2;;;
970819;0400;3;;;
970819;0500;3;;;
970819;0600;3;;;
970819;0700;4;;;
970819;0800;6;;;
970819;0900;7;;;
970819;1000;8;;;
970819;1100;6;;;
970819;1200;5;;;
970819;1300;3;;;
970819;1400;2;;;
970819;1500;1;;;
970819;1600;1;;;
970819;1700;1;;;
970819;1800;1;;;
970819;1900;2;;;
970819;2000;5;;;
970819;2100;7;;;
970819;2200;9;;;
970819;2300;8;;;
970820;0000;7;;;
970820;0100;5;;;
970820;0200;3;;;
970820;0300;3;;;
970820;0400;2;;;
970820;0500;2;;;
970820;0600;3;;;
970820;0700;4;;;
970820;0800;8;;;
970820;0900;7;;;
970820;1000;7;;;
970820;1100;6;;;
970820;1200;6;;;
970820;1300;12;;;
970820;1400;39;;;
970820;1500;28;;;
970820;1600;22;;;
970820;1700;12;;;
970820;1800;12;;;
970820;1900;8;;;
970820;2000;4;;;
970820;2100;4;;;
970820;2200;3;;;
970820;2300;4;;;
970821;0000;4;;;
970821;0100;2;;;
970821;0200;1;;;
970821;0300;1;;;
970821;0400;1;;;
970821;0500;1;;;
970821;0600;1;;;
970821;0700;4;;;
970821;0800;6;;;
970821;0900;7;;;
970821;1000;6;;;
970821;1100;8;;;
970821;1200;7;;;
970821;1300;6;;;
970821;1400;19;;;
970821;1500;24;;;
970821;1600;17;;;
970821;1700;24;;;
970821;1800;18;;;
970821;1900;10;;;
970821;2000;11;;;
970821;2100;11;;;
970821;2200;10;;;
970821;2300;10;;;
970822;0000;8;;;
970822;0100;7;;;
970822;0200;5;;;
970822;0300;4;;;
970822;0400;4;;;
970822;0500;3;;;
970822;0600;4;;;
970822;0700;7;;;
970822;0800;11;;;
970822;0900;19;;;
970822;1000;20;;;
970822;1100;15;;;
970822;1200;11;;;
970822;1300;7;;;
970822;1400;9;;;
970822;1500;10;;;
970822;1600;11;;;
970822;1700;10;;;
970822;1800;8;;;
970822;1900;7;;;
970822;2000;9;;;
970822;2100;9;;;
970822;2200;11;;;
970822;2300;10;;;
970823;0000;12;;;
970823;0100;9;;;
970823;0200;5;;;
970823;0300;5;;;
970823;0400;5;;;
970823;0500;4;;;
970823;0600;5;;;
970823;0700;6;;;
970823;0800;11;;;
970823;0900;13;;;
970823;1000;11;;;
970823;1100;10;;;
970823;1200;9;;;
970823;1300;10;;;
970823;1400;7;;;
970823;1500;5;;;
970823;1600;6;;;
970823;1700;7;;;
970823;1800;14;;;
970823;1900;19;;;
970823;2000;23;;;
970823;2100;20;;;
970823;2200;15;;;
970823;2300;14;;;
970824;0000;13;;;
970824;0100;9;;;
970824;0200;8;;;
970824;0300;7;;;
970824;0400;6;;;
970824;0500;5;;;
970824;0600;5;;;
970824;0700;6;;;
970824;0800;9;;;
970824;0900;12;;;
970824;1000;11;;;
970824;1100;11;;;
970824;1200;10;;;
970824;1300;16;;;
970824;1400;31;;;
970824;1500;30;;;
970824;1600;23;;;
970824;1700;21;;;
970824;1800;21;;;
970824;1900;16;;;
970824;2000;12;;;
970824;2100;13;;;
970824;2200;11;;;
970824;2300;13;;;
970825;0000;9;;;
970825;0100;7;;;
970825;0200;6;;;
970825;0300;5;;;
970825;0400;4;;;
970825;0500;5;;;
970825;0600;6;;;
970825;0700;7;;;
970825;0800;10;;;
970825;0900;16;;;
970825;1000;41;;;
970825;1100;52;;;
970825;1200;41;;;
970825;1300;36;;;
970825;1400;45;;;
970825;1500;41;;;
970825;1600;17;;;
970825;1700;14;;;
970825;1800;17;;;
970825;1900;20;;;
970825;2000;14;;;
970825;2100;12;;;
970825;2200;17;;;
970825;2300;13;;;
970826;0000;10;;;
970826;0100;8;;;
970826;0200;8;;;
970826;0300;8;;;
970826;0400;6;;;
970826;0500;6;;;
970826;0600;6;;;
970826;0700;9;;;
970826;0800;11;;;
970826;0900;15;;;
970826;1000;17;;;
970826;1100;20;;;
970826;1200;21;;;
970826;1300;22;;;
970826;1400;60;;;
970826;1500;73;;;
970826;1600;86;;;
970826;1700;40;;;
970826;1800;17;;;
970826;1900;13;;;
970826;2000;19;;;
970826;2100;16;;;
970826;2200;12;;;
970826;2300;9;;;
970827;0000;10;;;
970827;0100;10;;;
970827;0200;8;;;
970827;0300;6;;;
970827;0400;5;;;
970827;0500;5;;;
970827;0600;5;;;
970827;0700;7;;;
970827;0800;15;;;
970827;0900;15;;;
970827;1000;52;;;
970827;1100;25;;;
970827;1200;24;;;
970827;1300;24;;;
970827;1400;23;;;
970827;1500;22;;;
970827;1600;16;;;
970827;1700;28;;;
970827;1800;28;;;
970827;1900;21;;;
970827;2000;19;;;
970827;2100;19;;;
970827;2200;11;;;
970827;2300;10;;;
970828;0000;11;;;
970828;0100;9;;;
970828;0200;6;;;
970828;0300;5;;;
970828;0400;4;;;
970828;0500;5;;;
970828;0600;5;;;
970828;0700;8;;;
970828;0800;19;;;
970828;0900;24;;;
970828;1000;22;;;
970828;1100;22;;;
970828;1200;26;;;
970828;1300;18;;;
970828;1400;12;;;
970828;1500;17;;;
970828;1600;11;;;
970828;1700;9;;;
970828;1800;8;;;
970828;1900;10;;;
970828;2000;9;;;
970828;2100;9;;;
970828;2200;10;;;
970828;2300;11;;;
970829;0000;9;;;
970829;0100;7;;;
970829;0200;5;;;
970829;0300;5;;;
970829;0400;6;;;
970829;0500;7;;;
970829;0600;7;;;
970829;0700;8;;;
970829;0800;9;;;
970829;0900;9;;;
970829;1000;11;;;
970829;1100;10;;;
970829;1200;7;;;
970829;1300;8;;;
970829;1400;8;;;
970829;1500;8;;;
970829;1600;6;;;
970829;1700;4;;;
970829;1800;4;;;
970829;1900;4;;;
970829;2000;5;;;
970829;2100;5;;;
970829;2200;3;;;
970829;2300;4;;;
970830;0000;4;;;
970830;0100;3;;;
970830;0200;3;;;
970830;0300;3;;;
970830;0400;5;;;
970830;0500;4;;;
970830;0600;4;;;
970830;0700;4;;;
970830;0800;5;;;
970830;0900;3;;;
970830;1000;3;;;
970830;1100;3;;;
970830;1200;3;;;
970830;1300;3;;;
970830;1400;3;;;
970830;1500;3;;;
970830;1600;3;;;
970830;1700;3;;;
970830;1800;5;;;
970830;1900;7;;;
970830;2000;5;;;
970830;2100;6;;;
970830;2200;3;;;
970830;2300;3;;;
970831;0000;3;;;
970831;0100;3;;;
970831;0200;2;;;
970831;0300;2;;;
970831;0400;3;;;
970831;0500;3;;;
970831;0600;3;;;
970831;0700;4;;;
970831;0800;4;;;
970831;0900;4;;;
970831;1000;3;;;
970831;1100;2;;;
970831;1200;4;;;
970831;1300;3;;;
970831;1400;2;;;
970831;1500;3;;;
970831;1600;3;;;
970831;1700;2;;;
970831;1800;2;;;
970831;1900;2;;;
970831;2000;2;;;
970831;2100;3;;;
970831;2200;4;;;
970831;2300;5;;;
970901;0000;5;;;
970901;0100;5;;;
970901;0200;2;;;
970901;0300;2;;;
970901;0400;4;;;
970901;0500;7;;;
970901;0600;9;;;
970901;0700;6;;;
970901;0800;6;;;
970901;0900;9;;;
970901;1000;7;;;
970901;1100;6;;;
970901;1200;8;;;
970901;1300;8;;;
970901;1400;7;;;
970901;1500;5;;;
970901;1600;5;;;
970901;1700;6;;;
970901;1800;6;;;
970901;1900;7;;;
970901;2000;7;;;
970901;2100;6;;;
970901;2200;6;;;
970901;2300;5;;;
970902;0000;3;;;
970902;0100;4;;;
970902;0200;5;;;
970902;0300;16;;;
970902;0400;8;;;
970902;0500;8;;;
970902;0600;7;;;
970902;0700;6;;;
970902;0800;8;;;
970902;0900;7;;;
970902;1000;6;;;
970902;1100;8;;;
970902;1200;7;;;
970902;1300;8;;;
970902;1400;10;;;
970902;1500;9;;;
970902;1600;9;;;
970902;1700;9;;;
970902;1800;7;;;
970902;1900;4;;;
970902;2000;5;;;
970902;2100;6;;;
970902;2200;6;;;
970902;2300;5;;;
970903;0000;4;;;
970903;0100;2;;;
970903;0200;2;;;
970903;0300;;;;
970903;0400;3;;;
970903;0500;1;;;
970903;0600;2;;;
970903;0700;3;;;
970903;0800;4;;;
970903;0900;4;;;
970903;1000;3;;;
970903;1100;5;;;
970903;1200;5;;;
970903;1300;4;;;
