FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970625;2300;9;;;
970626;0000;5;;;
970626;0100;4;;;
970626;0200;3;;;
970626;0300;2;;;
970626;0400;2;;;
970626;0500;2;;;
970626;0600;3;;;
970626;0700;6;;;
970626;0800;9;;;
970626;0900;9;;;
970626;1000;9;;;
970626;1100;10;;;
970626;1200;12;;;
970626;1300;14;;;
970626;1400;20;;;
970626;1500;17;;;
970626;1600;15;;;
970626;1700;9;;;
970626;1800;6;;;
970626;1900;10;;;
970626;2000;10;;;
970626;2100;10;;;
970626;2200;8;;;
970626;2300;7;;;
970627;0000;8;;;
970627;0100;7;;;
970627;0200;4;;;
970627;0300;3;;;
970627;0400;3;;;
970627;0500;3;;;
970627;0600;3;;;
970627;0700;6;;;
970627;0800;8;;;
970627;0900;8;;;
970627;1000;9;;;
970627;1100;11;;;
970627;1200;13;;;
970627;1300;17;;;
970627;1400;17;;;
970627;1500;37;;;
970627;1600;52;;;
970627;1700;34;;;
970627;1800;8;;;
970627;1900;13;;;
970627;2000;15;;;
970627;2100;15;;;
970627;2200;13;;;
970627;2300;13;;;
970628;0000;11;;;
970628;0100;9;;;
970628;0200;6;;;
970628;0300;5;;;
970628;0400;4;;;
970628;0500;4;;;
970628;0600;3;;;
970628;0700;5;;;
970628;0800;7;;;
970628;0900;11;;;
970628;1000;18;;;
970628;1100;22;;;
970628;1200;19;;;
970628;1300;16;;;
970628;1400;14;;;
970628;1500;17;;;
970628;1600;35;;;
970628;1700;28;;;
970628;1800;13;;;
970628;1900;15;;;
970628;2000;15;;;
970628;2100;13;;;
970628;2200;14;;;
970628;2300;12;;;
970629;0000;11;;;
970629;0100;9;;;
970629;0200;7;;;
970629;0300;5;;;
970629;0400;5;;;
970629;0500;4;;;
970629;0600;3;;;
970629;0700;3;;;
970629;0800;4;;;
970629;0900;6;;;
970629;1000;12;;;
970629;1100;13;;;
970629;1200;13;;;
970629;1300;10;;;
970629;1400;13;;;
970629;1500;27;;;
970629;1600;33;;;
970629;1700;34;;;
970629;1800;26;;;
970629;1900;18;;;
970629;2000;13;;;
970629;2100;12;;;
970629;2200;11;;;
970629;2300;8;;;
970630;0000;6;;;
970630;0100;4;;;
970630;0200;3;;;
970630;0300;2;;;
970630;0400;3;;;
970630;0500;3;;;
970630;0600;5;;;
970630;0700;9;;;
970630;0800;14;;;
970630;0900;15;;;
970630;1000;18;;;
970630;1100;24;;;
970630;1200;38;;;
970630;1300;18;;;
970630;1400;18;;;
970630;1500;13;;;
970630;1600;6;;;
970630;1700;9;;;
970630;1800;19;;;
970630;1900;17;;;
970630;2000;15;;;
970630;2100;15;;;
970630;2200;12;;;
970630;2300;10;;;
970701;0000;8;;;
970701;0100;6;;;
970701;0200;5;;;
970701;0300;5;;;
970701;0400;4;;;
970701;0500;4;;;
970701;0600;5;;;
970701;0700;11;;;
970701;0800;19;;;
970701;0900;20;;;
970701;1000;19;;;
970701;1100;9;;;
970701;1200;5;;;
970701;1300;5;;;
970701;1400;3;;;
970701;1500;4;;;
970701;1600;4;;;
970701;1700;3;;;
970701;1800;3;;;
970701;1900;4;;;
970701;2000;6;;;
970701;2100;6;;;
970701;2200;6;;;
970701;2300;6;;;
970702;0000;6;;;
970702;0100;4;;;
970702;0200;4;;;
970702;0300;2;;;
970702;0400;1;;;
970702;0500;2;;;
970702;0600;2;;;
970702;0700;6;;;
970702;0800;10;;;
