FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090222;2200;;;4,78333;
090222;2300;;;4,48331;
090223;0000;;;4,31666;
090223;0100;;;4,3;
090223;0200;;;4,22498;
090223;0300;;;4,2;
090223;0400;;;4,23333;
090223;0500;;;4,51665;
090223;0600;;;4,77499;
090223;0700;;;4,80833;
090223;0800;;;4,49998;
090223;0900;;;4,35831;
090223;1000;;;4,39165;
090223;1100;;;4,575;
090223;1200;;;4,675;
090223;1300;;;4,63332;
090223;1400;;;4,61665;
090223;1500;;;4,60833;
090223;1600;;;4,64165;
090223;1700;;;4,7;
090223;1800;;;4,7;
090223;1900;;;4,76665;
090223;2000;;;4,80833;
090223;2100;;;4,8;
090223;2200;;;4,8;
090223;2300;;;4,8;
090224;0000;;;4,84166;
090224;0100;;;4,82499;
090224;0200;;;4,86665;
090224;0300;;;4,9222;
090224;0400;;;4,91109;
090224;0500;;;5,06666;
090224;0600;;;5,74998;
090224;0700;;;5,81666;
090224;0800;;;5,33333;
090224;0900;;;5,06667;
090224;1000;;;5,09166;
090224;1100;;;4,99998;
090224;1200;;;4,88332;
090224;1300;;;4,85831;
090224;1400;;;4,8;
090224;1500;;;4,8;
090224;1600;;;4,80833;
090224;1700;;;4,8;
090224;1800;;;4,80833;
090224;1900;;;4,85831;
090224;2000;;;4,93333;
090224;2100;;;5;
090224;2200;;;5,06667;
090224;2300;;;5,18333;
090225;0000;;;5,46666;
090225;0100;;;5,40833;
090225;0200;;;5,36665;
090225;0300;;;5,26665;
090225;0400;;;5,27776;
090225;0500;;;5,35831;
090225;0600;;;5,77499;
090225;0700;;;5,66666;
090225;0800;;;5,37498;
090225;0900;;;5,41666;
090225;1000;;;5,24165;
090225;1100;;;5,10833;
090225;1200;;;5,02499;
090225;1300;;;4,96666;
090225;1400;;;4,89999;
090225;1500;;;4,84998;
090225;1600;;;4,82499;
090225;1700;;;4,84166;
090225;1800;;;4,89165;
090225;1900;;;4,90833;
090225;2000;;;5,04166;
090225;2100;;;5,05833;
090225;2200;;;5,10833;
090225;2300;;;5,15833;
090226;0000;;;5,43333;
090226;0100;;;5,49165;
090226;0200;;;5,38332;
090226;0300;;;5,39999;
090226;0400;;;5,34444;
090226;0500;;;5,45;
090226;0600;;;5,64999;
090226;0700;;;5,87498;
090226;0800;;;5,44166;
090226;0900;;;5,3;
090226;1000;;;5,3;
090226;1100;;;5,3;
