FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090213;1500;0,0999998;;;
090213;1600;0,0999998;;;
090213;1700;0,0999998;;;
090213;1800;0,0999998;;;
090213;1900;0,0999998;;;
090213;2000;0,0999998;;;
090213;2100;0,0999998;;;
090213;2200;0,0999998;;;
090213;2300;0,0999998;;;
090214;0000;0,0999998;;;
090214;0100;0,0999998;;;
090214;0200;0,2;;;
090214;0300;0,2;;;
090214;0400;0,4;;;
090214;0500;0,5;;;
090214;0600;0,599998;;;
090214;0700;0,7;;;
090214;0800;0,599998;;;
090214;0900;0,5;;;
090214;1000;0,3;;;
090214;1100;0,0999998;;;
090214;1200;0,0999998;;;
090214;1300;0,0999998;;;
090214;1400;0,0999998;;;
090214;1500;0,0999998;;;
090214;1600;0,0999998;;;
090214;1700;0,0999998;;;
090214;1800;0,0999998;;;
090214;1900;0,0999998;;;
090214;2000;0,0999998;;;
090214;2100;0,0999998;;;
090214;2200;0,0999998;;;
090214;2300;0,0999998;;;
090215;0000;0,0999998;;;
090215;0100;0,3;;;
090215;0200;0,4;;;
090215;0300;0,5;;;
090215;0400;0,599998;;;
090215;0500;0,599998;;;
090215;0600;0,599998;;;
090215;0700;0,599998;;;
090215;0800;0,599998;;;
090215;0900;0,599998;;;
090215;1000;0,599998;;;
090215;1100;0,4;;;
090215;1200;0,2;;;
090215;1300;0,0999998;;;
090215;1400;0,0999998;;;
090215;1500;0,0999998;;;
090215;1600;0,0999998;;;
090215;1700;0,0999998;;;
090215;1800;0,0999998;;;
090215;1900;0,0999998;;;
090215;2000;0,0999998;;;
090215;2100;0,0999998;;;
090215;2200;0,0999998;;;
090215;2300;0,2;;;
090216;0000;0,3;;;
090216;0100;0,4;;;
090216;0200;0,5;;;
090216;0300;0,5;;;
090216;0400;0,599998;;;
090216;0500;0,599998;;;
090216;0600;0,599998;;;
090216;0700;0,599998;;;
090216;0800;0,599998;;;
090216;0900;0,599998;;;
090216;1000;0,599998;;;
090216;1100;0,4;;;
090216;1200;0,2;;;
090216;1300;0,0999998;;;
090216;1400;0,0999998;;;
090216;1500;0,0999998;;;
090216;1600;0,0999998;;;
090216;1700;0,0999998;;;
090216;1800;0,0999998;;;
090216;1900;0,0999998;;;
090216;2000;0,0999998;;;
090216;2100;0,0999998;;;
090216;2200;0,0999998;;;
090216;2300;0,0999998;;;
090217;0000;0,0999998;;;
090217;0100;0,0999998;;;
090217;0200;0,2;;;
090217;0300;0,3;;;
090217;0400;0,5;;;
090217;0500;0,599998;;;
090217;0600;0,799996;;;
090217;0700;0,9;;;
090217;0800;0,9;;;
090217;0900;0,7;;;
090217;1000;0,4;;;
090217;1100;0,7;;;
090217;1200;0,9;;;
090217;1300;1;;;
090217;1400;1,1;;;
090217;1500;1,1;;;
090217;1600;1,2;;;
090217;1700;1,2;;;
090217;1800;1,3;;;
090217;1900;1,3;;;
090217;2000;1,3;;;
090217;2100;1,3;;;
090217;2200;1,4;;;
